image_id,abs_image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g
ID1011485656,../../csiro-biomass/train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,16.2751,31.9984,0.0,16.275,48.2735
ID1012260530,../../csiro-biomass/train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,7.6,0.0,0.0,7.6,7.6
ID1025234388,../../csiro-biomass/train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,0.0,0.0,6.05,6.05,6.05
ID1028611175,../../csiro-biomass/train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,24.2376,30.9703,0.0,24.2376,55.2079
ID1035947949,../../csiro-biomass/train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,10.5261,23.2239,0.4343,10.9605,34.1844
ID1036339023,../../csiro-biomass/train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,32.191,2.6135,23.0755,55.2665,57.88
ID1049634115,../../csiro-biomass/train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,13.575,3.0167,1.5083,15.0833,18.1
ID1051144034,../../csiro-biomass/train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,0.0,0.0,55.32,55.32,55.32
ID1052620238,../../csiro-biomass/train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,20.1707,11.2291,0.0,20.1707,31.3998
ID105271783,../../csiro-biomass/train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,27.6667,8.5635,5.2698,32.9365,41.5
ID1053972079,../../csiro-biomass/train/ID1053972079.jpg,2015/9/4,Tas,Clover,0.56,2.5,1.3688,7.9393,21.0801,22.4489,30.3882
ID1058383417,../../csiro-biomass/train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,0.62,2.0,13.1,9.5,0.1,13.2,22.7
ID1062837331,../../csiro-biomass/train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,35.4077,3.9623,19.98,55.3877,59.35
ID1070112260,../../csiro-biomass/train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.6,6.0,22.1235,9.8765,0.0,22.1235,32.0
ID1078930021,../../csiro-biomass/train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,32.9811,5.0189,0.0,32.9811,38.0
ID1084819986,../../csiro-biomass/train/ID1084819986.jpg,2015/9/4,Tas,Clover,0.69,3.1667,2.6819,13.0742,21.4551,24.137,37.2112
ID1088965591,../../csiro-biomass/train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,0.89,43.0,59.5557,0.3443,0.0,59.5557,59.9
ID1098771283,../../csiro-biomass/train/ID1098771283.jpg,2015/11/9,Tas,Clover,0.48,2.6667,0.4528,15.1673,8.376,8.8287,23.9961
ID1103883611,../../csiro-biomass/train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,82.7834,12.9166,0.0,82.7834,95.7
ID1108283583,../../csiro-biomass/train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,40.4108,7.2162,5.773,46.1838,53.4
